MCC;Название;Группа;Обновлено;;;;;
3384;Агентства по аренде автомобилей;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3384,'Агентства по аренде автомобилей ');";
3385;Tropical Rent-a-car;Аренда автомобилей;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3385,'Tropical Rent-a-car ');";
3386;Showcase Rental Cars;Аренда автомобилей;13.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3386,'Showcase Rental Cars ');";
3387;Alamo Rent-a-car;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3387,'Alamo Rent-a-car ');";
3388;Агентства по аренде автомобилей;Аренда автомобилей;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3388,'Агентства по аренде автомобилей ');";
3389;Avis Rent-a-car;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3389,'Avis Rent-a-car ');";
3390;Dollar Rent-a-car;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3390,'Dollar Rent-a-car ');";
3391;Europe By Car;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3391,'Europe By Car ');";
3392;Агентства по аренде автомобилей;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3392,'Агентства по аренде автомобилей ');";
3393;National Car Rental;Аренда автомобилей;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3393,'National Car Rental ');";
3394;Kemwell Group Rent-a-car;Аренда автомобилей;16.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3394,'Kemwell Group Rent-a-car ');";
3395;Thrifty Rent-a-car;Аренда автомобилей;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3395,'Thrifty Rent-a-car ');";
3396;Tilden Tent-a-car;Аренда автомобилей;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3396,'Tilden Tent-a-car ');";
3397;Агентства по аренде автомобилей;Аренда автомобилей;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3397,'Агентства по аренде автомобилей ');";
3398;Econo-car Rent-a-car;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3398,'Econo-car Rent-a-car ');";
3399;Amerex Rent-a-Car;Аренда автомобилей;14.10.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3399,'Amerex Rent-a-Car ');";
3400;Auto Host Cost Car Rentals;Аренда автомобилей;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3400,'Auto Host Cost Car Rentals ');";
3401;Агентства по аренде автомобилей;Аренда автомобилей;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3401,'Агентства по аренде автомобилей ');";
3402;Агентства по аренде автомобилей;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3402,'Агентства по аренде автомобилей ');";
3403;Агентства по аренде автомобилей;Аренда автомобилей;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3403,'Агентства по аренде автомобилей ');";
3404;Агентства по аренде автомобилей;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3404,'Агентства по аренде автомобилей ');";
3405;Enterprise Rent-a-car;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3405,'Enterprise Rent-a-car ');";
3406;Агентства по аренде автомобилей;Аренда автомобилей;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3406,'Агентства по аренде автомобилей ');";
3407;Агентства по аренде автомобилей;Аренда автомобилей;16.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3407,'Агентства по аренде автомобилей ');";
3408;Агентства по аренде автомобилей;Аренда автомобилей;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3408,'Агентства по аренде автомобилей ');";
3409;General Rent-a-car;Аренда автомобилей;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3409,'General Rent-a-car ');";
3410;Агентства по аренде автомобилей;Аренда автомобилей;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3410,'Агентства по аренде автомобилей ');";
3412;A-1 Rent-a-car;Аренда автомобилей;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3412,'A-1 Rent-a-car ');";
3413;Агентства по аренде автомобилей;Аренда автомобилей;16.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3413,'Агентства по аренде автомобилей ');";
3414;Godfrey Natl Rent-a-car;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3414,'Godfrey Natl Rent-a-car ');";
3415;Агентства по аренде автомобилей;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3415,'Агентства по аренде автомобилей ');";
3416;Агентства по аренде автомобилей;Аренда автомобилей;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3416,'Агентства по аренде автомобилей ');";
3417;Агентства по аренде автомобилей;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3417,'Агентства по аренде автомобилей ');";
3418;Агентства по аренде автомобилей;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3418,'Агентства по аренде автомобилей ');";
3419;Alpha Rent-a-car;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3419,'Alpha Rent-a-car ');";
3420;Ansa Intl Rent-a-car;Аренда автомобилей;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3420,'Ansa Intl Rent-a-car ');";
3421;Allstae Rent-a-car;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3421,'Allstae Rent-a-car ');";
3422;Агентства по аренде автомобилей;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3422,'Агентства по аренде автомобилей ');";
3423;Avcar Rent-a-car;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3423,'Avcar Rent-a-car ');";
3425;Automate Rent-a-car;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3425,'Automate Rent-a-car ');";
3426;Агентства по аренде автомобилей;Аренда автомобилей;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3426,'Агентства по аренде автомобилей ');";
3427;Avon Rent-a-car;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3427,'Avon Rent-a-car ');";
3428;Carey Rent-a-car;Аренда автомобилей;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3428,'Carey Rent-a-car ');";
3429;Insurance Rent-a-car;Аренда автомобилей;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3429,'Insurance Rent-a-car ');";
3430;Major Rent-a-car;Аренда автомобилей;13.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3430,'Major Rent-a-car ');";
3431;Replacement Rent-a-car;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3431,'Replacement Rent-a-car ');";
3432;Reserve Rent-a-car;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3432,'Reserve Rent-a-car ');";
3433;Ugly Duckling Rent-a-car;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3433,'Ugly Duckling Rent-a-car ');";
3434;USA Rent-a-car;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3434,'USA Rent-a-car ');";
3435;Value Rent-a-car;Аренда автомобилей;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3435,'Value Rent-a-car ');";
3436;Autohansa Rent-a-car;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3436,'Autohansa Rent-a-car ');";
3437;Cite Rent-a-car;Аренда автомобилей;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3437,'Cite Rent-a-car ');";
3438;Interent Rent-a-car;Аренда автомобилей;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3438,'Interent Rent-a-car ');";
3439;Milleville Rent-a-car;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3439,'Milleville Rent-a-car ');";
3440;Via Route Rent-a-Car;Аренда автомобилей;14.10.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3440,'Via Route Rent-a-Car ');";
3441;Агентства по аренде автомобилей;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3441,'Агентства по аренде автомобилей ');";
3501;Holiday Inns;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3501,'Holiday Inns ');";
3502;Best Western Hotels;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3502,'Best Western Hotels ');";
3503;Sheraton Hotels;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3503,'Sheraton Hotels ');";
3504;Hilton Hotels;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3504,'Hilton Hotels ');";
3505;Forte Hotels;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3505,'Forte Hotels ');";
3506;Golden Tulip Hotels;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3506,'Golden Tulip Hotels ');";
3507;Friendship Inns;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3507,'Friendship Inns ');";
3508;Quality Inns;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3508,'Quality Inns ');";
3509;Marriott Hotels;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3509,'Marriott Hotels ');";
3510;Days Inn;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3510,'Days Inn ');";
3511;Arabella Hotels;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3511,'Arabella Hotels ');";
3512;Inter-continental Hotels;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3512,'Inter-continental Hotels ');";
3513;Westin Hotels;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3513,'Westin Hotels ');";
3514;Отели, мотели, курорты;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3514,'Отели, мотели, курорты ');";
3515;Rodeway Inns;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3515,'Rodeway Inns ');";
3516;La Quinta Motor Inns;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3516,'La Quinta Motor Inns ');";
3517;Americana Hotels;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3517,'Americana Hotels ');";
3518;Sol Hotels;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3518,'Sol Hotels ');";
3519;Pullman International Hotels;Отели и мотели;16.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3519,'Pullman International Hotels ');";
3520;Meridien Hotels;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3520,'Meridien Hotels ');";
3521;Crest Hotels (see Forte Hotels);Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3521,'Crest Hotels (see Forte Hotels) ');";
3522;Tokyo Hotel;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3522,'Tokyo Hotel ');";
3523;Pennsula Hotel;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3523,'Pennsula Hotel ');";
3524;Welcomgroup Hotels;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3524,'Welcomgroup Hotels ');";
3525;Dunfey Hotels;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3525,'Dunfey Hotels ');";
3526;Отели, мотели, курорты;Отели и мотели;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3526,'Отели, мотели, курорты ');";
3527;Downtowner-passport Hotel;Отели и мотели;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3527,'Downtowner-passport Hotel ');";
